subscription_id,customer_id,plan,mrr,start_date,end_date,status
SUB00047,CUST0047,Growth,99,2024-10-01,2025-07-01,churned
SUB00048,CUST0048,Growth,99,2024-03-01,2024-12-01,churned
SUB00049,CUST0049,Growth,99,2025-04-01,,active
SUB00050,CUST0050,Starter,29,2024-10-01,2025-11-01,churned
SUB00051,CUST0051,Starter,29,2025-01-01,,active
SUB00052,CUST0052,Enterprise,299,2024-06-01,,active
SUB00053,CUST0053,Starter,29,2024-11-01,2025-10-01,churned
SUB00054,CUST0054,Enterprise,299,2025-01-01,,active
SUB00055,CUST0055,Starter,29,2024-10-01,,active
SUB00056,CUST0056,Growth,99,2025-01-01,2025-03-01,churned
SUB00057,CUST0057,Enterprise,299,2024-11-01,,active
SUB00058,CUST0058,Starter,29,2025-01-01,2025-06-01,churned
SUB00059,CUST0059,Enterprise,299,2024-03-01,,active
SUB00060,CUST0060,Growth,99,2024-07-01,2024-10-01,churned
SUB00061,CUST0061,Growth,99,2024-10-01,,active
SUB00062,CUST0062,Growth,99,2024-03-01,,active
SUB00063,CUST0063,Starter,29,2024-12-01,,active
SUB00064,CUST0064,Starter,29,2024-10-01,2024-12-01,churned
SUB00065,CUST0065,Enterprise,299,2024-12-01,2025-06-01,churned
SUB00066,CUST0066,Enterprise,299,2024-07-01,,active
SUB00067,CUST0067,Starter,29,2025-10-01,,active
SUB00068,CUST0068,Growth,99,2024-05-01,2024-08-01,churned
SUB00069,CUST0069,Starter,29,2024-04-01,,active
SUB00070,CUST0070,Growth,99,2025-01-01,,active
SUB00071,CUST0071,Growth,99,2025-02-01,,active
SUB00072,CUST0072,Enterprise,299,2024-07-01,,active
SUB00073,CUST0073,Starter,29,2025-04-01,,active
SUB00074,CUST0074,Enterprise,299,2024-12-01,2025-06-01,churned
SUB00075,CUST0075,Starter,29,2024-07-01,2025-10-01,churned
SUB00076,CUST0076,Growth,99,2024-10-01,,active
SUB00077,CUST0077,Starter,29,2024-05-01,,active
SUB00078,CUST0078,Starter,29,2025-11-01,,active
SUB00079,CUST0079,Enterprise,299,2024-02-01,2024-08-01,churned
SUB00080,CUST0080,Enterprise,299,2024-02-01,,active
SUB00081,CUST0081,Enterprise,299,2024-06-01,,active
SUB00082,CUST0082,Starter,29,2024-12-01,,active
SUB00083,CUST0083,Enterprise,299,2024-04-01,,active
SUB00084,CUST0084,Starter,29,2024-04-01,2025-12-01,churned
SUB00085,CUST0085,Enterprise,299,2024-11-01,,active
SUB00086,CUST0086,Enterprise,299,2024-09-01,,active
SUB00087,CUST0087,Enterprise,299,2024-10-01,,active
SUB00088,CUST0088,Starter,29,2025-03-01,,active
SUB00089,CUST0089,Growth,99,2024-07-01,2025-07-01,churned
SUB00090,CUST0090,Growth,99,2024-08-01,,active
SUB00091,CUST0091,Enterprise,299,2024-06-01,2025-06-01,churned
SUB00092,CUST0092,Starter,29,2024-09-01,2024-10-01,churned
SUB00093,CUST0093,Enterprise,299,2024-09-01,2024-10-01,churned
SUB00094,CUST0094,Starter,29,2025-01-01,,active
SUB00095,CUST0095,Starter,29,2025-02-01,2025-05-01,churned
SUB00096,CUST0096,Growth,99,2025-01-01,,active
SUB00097,CUST0097,Starter,29,2024-03-01,,active
SUB00098,CUST0098,Starter,29,2024-08-01,,active
SUB00099,CUST0099,Starter,29,2024-06-01,2024-08-01,churned
SUB00100,CUST0100,Growth,99,2024-09-01,2025-06-01,churned
SUB00101,CUST0101,Starter,29,2025-06-01,,active
SUB00102,CUST0102,Starter,29,2024-05-01,2025-10-01,churned
SUB00103,CUST0103,Growth,99,2024-06-01,,active
SUB00104,CUST0104,Starter,29,2024-09-01,,active
SUB00105,CUST0105,Starter,29,2024-07-01,2025-06-01,churned
SUB00106,CUST0106,Starter,29,2024-06-01,2025-09-01,churned
SUB00107,CUST0107,Growth,99,2024-11-01,,active
SUB00108,CUST0108,Growth,99,2024-10-01,,active
SUB00109,CUST0109,Enterprise,299,2024-06-01,,active
SUB00110,CUST0110,Enterprise,299,2024-02-01,,active
SUB00111,CUST0111,Starter,29,2025-05-01,2025-09-01,churned
SUB00112,CUST0112,Starter,29,2024-06-01,2025-02-01,churned
SUB00113,CUST0113,Starter,29,2025-08-01,2025-10-01,churned
SUB00114,CUST0114,Starter,29,2025-06-01,,active
SUB00115,CUST0115,Starter,29,2025-01-01,2025-10-01,churned
SUB00116,CUST0116,Starter,29,2024-04-01,2025-11-01,churned
SUB00117,CUST0117,Enterprise,299,2024-05-01,,active
SUB00118,CUST0118,Enterprise,299,2024-10-01,,active
SUB00119,CUST0119,Growth,99,2024-06-01,2024-09-01,churned
SUB00120,CUST0120,Starter,29,2024-08-01,2024-10-01,churned
SUB00121,CUST0121,Enterprise,299,2024-02-01,2024-10-01,churned
SUB00122,CUST0122,Growth,99,2025-04-01,,active
SUB00123,CUST0123,Starter,29,2024-12-01,2025-04-01,churned
SUB00124,CUST0124,Starter,29,2024-08-01,,active
SUB00125,CUST0125,Enterprise,299,2025-09-01,,active
SUB00126,CUST0126,Enterprise,299,2024-06-01,,active
SUB00127,CUST0127,Starter,29,2025-09-01,,active
SUB00128,CUST0128,Growth,99,2024-02-01,2025-07-01,churned
SUB00129,CUST0129,Starter,29,2024-01-01,,active
SUB00130,CUST0130,Growth,99,2025-04-01,,active
SUB00131,CUST0131,Starter,29,2024-06-01,2024-07-01,churned
SUB00132,CUST0132,Enterprise,299,2024-11-01,,active
SUB00133,CUST0133,Enterprise,299,2025-02-01,,active
SUB00134,CUST0134,Growth,99,2025-05-01,2025-12-01,churned
SUB00135,CUST0135,Starter,29,2024-06-01,2024-08-01,churned
SUB00136,CUST0136,Enterprise,299,2024-10-01,,active
SUB00137,CUST0137,Enterprise,299,2024-09-01,,active
SUB00138,CUST0138,Growth,99,2024-02-01,,active
SUB00139,CUST0139,Growth,99,2024-11-01,,active
SUB00140,CUST0140,Enterprise,299,2025-02-01,,active
SUB00141,CUST0141,Growth,99,2025-01-01,2025-09-01,churned
SUB00142,CUST0142,Starter,29,2024-11-01,2025-05-01,churned
SUB00143,CUST0143,Starter,29,2025-01-01,,active
SUB00144,CUST0144,Growth,99,2025-02-01,,active
SUB00145,CUST0145,Enterprise,299,2024-05-01,,active
SUB00146,CUST0146,Growth,99,2025-08-01,,active
SUB00147,CUST0147,Enterprise,299,2025-03-01,,active
SUB00148,CUST0148,Growth,99,2024-07-01,2024-12-01,churned
SUB00149,CUST0149,Growth,99,2024-06-01,,active
SUB00150,CUST0150,Starter,29,2024-07-01,,active
SUB00151,CUST0151,Starter,29,2025-01-01,,active
SUB00152,CUST0152,Growth,99,2025-04-01,,active
SUB00153,CUST0153,Growth,99,2025-08-01,,active
SUB00154,CUST0154,Enterprise,299,2024-08-01,,active
SUB00155,CUST0155,Starter,29,2024-03-01,2024-08-01,churned
SUB00156,CUST0156,Enterprise,299,2024-07-01,2025-05-01,churned
SUB00157,CUST0157,Enterprise,299,2024-05-01,2024-10-01,churned
SUB00158,CUST0158,Starter,29,2025-02-01,2025-05-01,churned
SUB00159,CUST0159,Enterprise,299,2024-07-01,,active
SUB00160,CUST0160,Starter,29,2024-06-01,2025-04-01,churned
SUB00161,CUST0161,Growth,99,2024-08-01,,active
SUB00162,CUST0162,Starter,29,2024-06-01,,active
SUB00163,CUST0163,Growth,99,2024-05-01,,active
SUB00164,CUST0164,Growth,99,2025-07-01,,active
SUB00165,CUST0165,Growth,99,2024-05-01,,active
SUB00166,CUST0166,Starter,29,2025-02-01,,active
SUB00167,CUST0167,Growth,99,2024-03-01,,active
SUB00168,CUST0168,Starter,29,2024-12-01,,active
SUB00169,CUST0169,Starter,29,2025-07-01,,active
SUB00170,CUST0170,Starter,29,2024-05-01,2024-12-01,churned
SUB00171,CUST0171,Starter,29,2024-05-01,2025-11-01,churned
SUB00172,CUST0172,Starter,29,2024-08-01,2025-08-01,churned
SUB00173,CUST0173,Enterprise,299,2024-03-01,2024-10-01,churned
SUB00174,CUST0174,Growth,99,2024-04-01,,active
SUB00175,CUST0175,Starter,29,2025-10-01,,active
SUB00176,CUST0176,Enterprise,299,2025-03-01,,active
SUB00177,CUST0177,Enterprise,299,2024-04-01,,active
SUB00178,CUST0178,Starter,29,2025-05-01,,active
SUB00179,CUST0179,Starter,29,2024-07-01,2024-08-01,churned
SUB00180,CUST0180,Starter,29,2024-12-01,,active
SUB00181,CUST0181,Starter,29,2024-09-01,,active
SUB00182,CUST0182,Starter,29,2025-03-01,,active
SUB00183,CUST0183,Enterprise,299,2024-12-01,,active
SUB00184,CUST0184,Growth,99,2024-08-01,,active
SUB00185,CUST0185,Starter,29,2025-04-01,,active
SUB00186,CUST0186,Enterprise,299,2024-05-01,,active
SUB00187,CUST0187,Enterprise,299,2025-04-01,,active
SUB00188,CUST0188,Starter,29,2025-06-01,,active
SUB00189,CUST0189,Growth,99,2024-11-01,,active
SUB00190,CUST0190,Starter,29,2024-12-01,,active
SUB00191,CUST0191,Starter,29,2024-04-01,,active
SUB00192,CUST0192,Enterprise,299,2025-10-01,,active
SUB00193,CUST0193,Growth,99,2024-05-01,2024-10-01,churned
SUB00194,CUST0194,Enterprise,299,2024-09-01,2025-05-01,churned
SUB00195,CUST0195,Starter,29,2025-06-01,,active
SUB00196,CUST0196,Growth,99,2024-06-01,,active
SUB00197,CUST0197,Enterprise,299,2024-10-01,,active
SUB00198,CUST0198,Enterprise,299,2024-05-01,,active
SUB00199,CUST0199,Growth,99,2025-02-01,,active
SUB00200,CUST0200,Enterprise,299,2025-05-01,,active
SUB00201,CUST0201,Enterprise,299,2024-04-01,,active
SUB00202,CUST0202,Growth,99,2024-02-01,2025-07-01,churned
SUB00203,CUST0203,Growth,99,2024-01-01,,active
SUB00204,CUST0204,Starter,29,2024-06-01,2024-12-01,churned
SUB00205,CUST0205,Growth,99,2024-10-01,,active
SUB00206,CUST0206,Starter,29,2025-07-01,2025-10-01,churned
SUB00207,CUST0207,Enterprise,299,2024-11-01,,active
SUB00208,CUST0208,Starter,29,2024-10-01,2024-11-01,churned
SUB00209,CUST0209,Starter,29,2025-03-01,,active
SUB00210,CUST0210,Enterprise,299,2024-12-01,,active
SUB00211,CUST0211,Starter,29,2024-08-01,,active
SUB00212,CUST0212,Enterprise,299,2024-04-01,2024-06-01,churned
SUB00213,CUST0213,Starter,29,2025-03-01,,active
SUB00214,CUST0214,Growth,99,2025-02-01,,active
SUB00215,CUST0215,Enterprise,299,2024-03-01,,active
SUB00216,CUST0216,Enterprise,299,2024-11-01,,active
SUB00217,CUST0217,Starter,29,2024-07-01,2025-05-01,churned
SUB00218,CUST0218,Starter,29,2025-06-01,,active
SUB00219,CUST0219,Enterprise,299,2024-05-01,,active
SUB00220,CUST0220,Growth,99,2025-03-01,2025-06-01,churned
SUB00221,CUST0221,Growth,99,2025-08-01,2025-12-01,churned
SUB00222,CUST0222,Starter,29,2024-07-01,,active
SUB00223,CUST0223,Enterprise,299,2024-09-01,,active
SUB00224,CUST0224,Growth,99,2024-12-01,2025-01-01,churned
SUB00225,CUST0225,Enterprise,299,2024-11-01,,active
SUB00226,CUST0226,Enterprise,299,2024-03-01,,active
SUB00227,CUST0227,Enterprise,299,2024-07-01,,active
SUB00228,CUST0228,Growth,99,2025-04-01,2025-08-01,churned
SUB00229,CUST0229,Starter,29,2024-09-01,2025-06-01,churned
SUB00230,CUST0230,Starter,29,2025-07-01,,active
SUB00231,CUST0231,Enterprise,299,2025-03-01,,active
SUB00232,CUST0232,Growth,99,2024-08-01,,active
SUB00233,CUST0233,Starter,29,2024-07-01,,active
SUB00234,CUST0234,Starter,29,2024-04-01,2024-05-01,churned
SUB00235,CUST0235,Starter,29,2024-04-01,2024-09-01,churned
SUB00236,CUST0236,Starter,29,2024-09-01,,active
SUB00237,CUST0237,Growth,99,2024-08-01,2025-10-01,churned
SUB00238,CUST0238,Starter,29,2024-09-01,2024-11-01,churned
SUB00239,CUST0239,Enterprise,299,2025-03-01,,active
SUB00240,CUST0240,Enterprise,299,2024-11-01,,active
SUB00241,CUST0241,Starter,29,2025-03-01,2025-11-01,churned
SUB00242,CUST0242,Growth,99,2024-10-01,,active
SUB00243,CUST0243,Starter,29,2024-10-01,,active
SUB00244,CUST0244,Enterprise,299,2024-09-01,2025-01-01,churned
SUB00245,CUST0245,Growth,99,2024-07-01,,active
SUB00246,CUST0246,Enterprise,299,2025-07-01,,active
SUB00247,CUST0247,Growth,99,2024-07-01,,active
SUB00248,CUST0248,Starter,29,2024-12-01,,active
SUB00249,CUST0249,Starter,29,2024-06-01,,active
SUB00250,CUST0250,Starter,29,2025-07-01,,active
SUB00251,CUST0251,Growth,99,2024-04-01,,active
SUB00252,CUST0252,Enterprise,299,2024-05-01,,active
SUB00253,CUST0253,Growth,99,2025-03-01,,active
SUB00254,CUST0254,Starter,29,2024-12-01,,active
SUB00255,CUST0255,Enterprise,299,2024-07-01,,active
SUB00256,CUST0256,Starter,29,2025-02-01,2025-05-01,churned
SUB00257,CUST0257,Growth,99,2024-09-01,2025-09-01,churned
SUB00258,CUST0258,Enterprise,299,2024-07-01,2025-01-01,churned
SUB00259,CUST0259,Growth,99,2024-08-01,,active
SUB00260,CUST0260,Enterprise,299,2025-05-01,,active
SUB00261,CUST0261,Starter,29,2025-02-01,2025-08-01,churned
SUB00262,CUST0262,Growth,99,2025-01-01,2025-05-01,churned
SUB00263,CUST0263,Starter,29,2024-10-01,,active
SUB00264,CUST0264,Growth,99,2024-08-01,,active
SUB00265,CUST0265,Growth,99,2024-07-01,2025-05-01,churned
SUB00266,CUST0266,Starter,29,2025-05-01,2025-06-01,churned
SUB00267,CUST0267,Growth,99,2024-03-01,2025-10-01,churned
SUB00268,CUST0268,Starter,29,2024-02-01,2025-11-01,churned
SUB00269,CUST0269,Enterprise,299,2025-01-01,2025-07-01,churned
SUB00270,CUST0270,Starter,29,2024-07-01,2025-02-01,churned
SUB00271,CUST0271,Growth,99,2025-05-01,,active
SUB00272,CUST0272,Enterprise,299,2025-02-01,,active
SUB00273,CUST0273,Starter,29,2024-09-01,,active
SUB00274,CUST0274,Growth,99,2025-03-01,,active
SUB00275,CUST0275,Starter,29,2025-04-01,,active
SUB00276,CUST0276,Starter,29,2025-04-01,,active
SUB00277,CUST0277,Starter,29,2024-08-01,,active
SUB00278,CUST0278,Starter,29,2024-02-01,2024-09-01,churned
SUB00279,CUST0279,Growth,99,2024-01-01,2025-02-01,churned
SUB00280,CUST0280,Starter,29,2025-04-01,2025-07-01,churned
SUB00281,CUST0281,Starter,29,2024-10-01,,active
SUB00282,CUST0282,Growth,99,2024-05-01,,active
SUB00283,CUST0283,Starter,29,2024-11-01,,active
SUB00284,CUST0284,Starter,29,2024-11-01,2025-05-01,churned
SUB00285,CUST0285,Enterprise,299,2024-11-01,,active
SUB00286,CUST0286,Starter,29,2024-08-01,2025-09-01,churned
SUB00287,CUST0287,Growth,99,2025-02-01,,active
SUB00288,CUST0288,Starter,29,2024-04-01,2025-01-01,churned
SUB00289,CUST0289,Growth,99,2024-08-01,,active
SUB00290,CUST0290,Starter,29,2024-06-01,2025-11-01,churned
SUB00291,CUST0291,Starter,29,2025-02-01,,active
SUB00292,CUST0292,Growth,99,2024-06-01,2024-07-01,churned
SUB00293,CUST0293,Growth,99,2024-03-01,2024-07-01,churned
SUB00294,CUST0294,Starter,29,2024-12-01,,active
SUB00295,CUST0295,Growth,99,2024-11-01,,active
SUB00296,CUST0296,Growth,99,2024-03-01,2025-09-01,churned
SUB00297,CUST0297,Starter,29,2025-03-01,,active
SUB00298,CUST0298,Growth,99,2024-10-01,2025-03-01,churned
SUB00299,CUST0299,Enterprise,299,2024-07-01,,active
SUB00300,CUST0300,Starter,29,2024-01-01,2024-04-01,churned
SUB00301,CUST0301,Growth,99,2025-02-01,,active
SUB00302,CUST0302,Enterprise,299,2024-11-01,,active
SUB00303,CUST0303,Growth,99,2024-12-01,2025-10-01,churned
SUB00304,CUST0304,Starter,29,2025-01-01,,active
SUB00305,CUST0305,Starter,29,2024-02-01,2025-08-01,churned
SUB00306,CUST0306,Growth,99,2024-08-01,2024-10-01,churned
SUB00307,CUST0307,Starter,29,2025-04-01,2025-05-01,churned
SUB00308,CUST0308,Growth,99,2024-03-01,,active
SUB00309,CUST0309,Growth,99,2024-09-01,2025-08-01,churned
SUB00310,CUST0310,Starter,29,2024-03-01,2024-10-01,churned
SUB00311,CUST0311,Enterprise,299,2025-01-01,,active
SUB00312,CUST0312,Growth,99,2024-10-01,2025-12-01,churned
SUB00313,CUST0313,Growth,99,2025-01-01,,active
SUB00314,CUST0314,Growth,99,2025-01-01,,active
SUB00315,CUST0315,Starter,29,2025-06-01,,active
SUB00316,CUST0316,Enterprise,299,2025-07-01,,active
SUB00317,CUST0317,Enterprise,299,2024-03-01,2025-03-01,churned
SUB00318,CUST0318,Starter,29,2024-12-01,,active
SUB00319,CUST0319,Starter,29,2024-06-01,2025-09-01,churned
SUB00320,CUST0320,Growth,99,2024-09-01,2025-04-01,churned
SUB00321,CUST0321,Starter,29,2024-04-01,2024-05-01,churned
SUB00322,CUST0322,Enterprise,299,2024-06-01,,active
SUB00323,CUST0323,Growth,99,2024-08-01,,active
SUB00324,CUST0324,Starter,29,2024-05-01,2024-11-01,churned
SUB00325,CUST0325,Growth,99,2025-04-01,,active
SUB00326,CUST0326,Starter,29,2024-05-01,,active
SUB00327,CUST0327,Growth,99,2024-08-01,2025-05-01,churned
SUB00328,CUST0328,Enterprise,299,2024-02-01,,active
SUB00329,CUST0329,Enterprise,299,2024-11-01,2025-07-01,churned
SUB00330,CUST0330,Starter,29,2025-03-01,2025-06-01,churned
SUB00331,CUST0331,Starter,29,2024-01-01,2025-08-01,churned
SUB00332,CUST0332,Growth,99,2024-10-01,,active
SUB00333,CUST0333,Starter,29,2025-03-01,,active
SUB00334,CUST0334,Starter,29,2025-01-01,,active
SUB00335,CUST0335,Starter,29,2024-03-01,2025-02-01,churned
SUB00336,CUST0336,Starter,29,2024-05-01,2025-08-01,churned
SUB00337,CUST0337,Growth,99,2024-08-01,,active
SUB00338,CUST0338,Starter,29,2024-03-01,2024-08-01,churned
SUB00339,CUST0339,Starter,29,2024-06-01,2025-01-01,churned
SUB00340,CUST0340,Enterprise,299,2024-08-01,,active
SUB00341,CUST0341,Starter,29,2024-09-01,2025-04-01,churned
SUB00342,CUST0342,Starter,29,2024-06-01,2025-11-01,churned
SUB00343,CUST0343,Growth,99,2024-05-01,2025-06-01,churned
SUB00344,CUST0344,Starter,29,2024-02-01,2024-11-01,churned
SUB00345,CUST0345,Growth,99,2024-11-01,,active
SUB00346,CUST0346,Growth,99,2024-11-01,,active
SUB00347,CUST0347,Starter,29,2025-02-01,,active
SUB00348,CUST0348,Growth,99,2024-03-01,2025-01-01,churned
SUB00349,CUST0349,Growth,99,2024-07-01,,active
SUB00350,CUST0350,Enterprise,299,2024-11-01,,active
SUB00351,CUST0351,Starter,29,2025-02-01,2025-11-01,churned
SUB00352,CUST0352,Enterprise,299,2025-06-01,2025-09-01,churned
SUB00353,CUST0353,Starter,29,2024-01-01,,active
SUB00354,CUST0354,Growth,99,2025-03-01,2025-04-01,churned
SUB00355,CUST0355,Starter,29,2024-12-01,,active
SUB00356,CUST0356,Growth,99,2025-05-01,,active
SUB00357,CUST0357,Starter,29,2024-03-01,2024-04-01,churned
SUB00358,CUST0358,Growth,99,2024-05-01,2025-07-01,churned
SUB00359,CUST0359,Growth,99,2024-10-01,,active
SUB00360,CUST0360,Growth,99,2024-06-01,,active
SUB00361,CUST0361,Starter,29,2025-05-01,2025-12-01,churned
SUB00362,CUST0362,Starter,29,2024-11-01,,active
SUB00363,CUST0363,Starter,29,2024-11-01,2025-04-01,churned
SUB00364,CUST0364,Starter,29,2025-06-01,,active
SUB00365,CUST0365,Growth,99,2024-08-01,2025-03-01,churned
SUB00366,CUST0366,Enterprise,299,2024-12-01,,active
SUB00367,CUST0367,Starter,29,2024-06-01,,active
SUB00368,CUST0368,Starter,29,2024-10-01,2025-01-01,churned
SUB00369,CUST0369,Starter,29,2025-01-01,,active
SUB00370,CUST0370,Starter,29,2024-05-01,2024-06-01,churned
SUB00371,CUST0371,Growth,99,2024-09-01,,active
SUB00372,CUST0372,Starter,29,2024-12-01,2025-02-01,churned
SUB00373,CUST0373,Starter,29,2024-03-01,,active
SUB00374,CUST0374,Enterprise,299,2025-02-01,,active
SUB00375,CUST0375,Starter,29,2024-12-01,2025-10-01,churned
SUB00376,CUST0376,Enterprise,299,2024-08-01,2025-04-01,churned
SUB00377,CUST0377,Starter,29,2024-11-01,,active
SUB00378,CUST0378,Enterprise,299,2025-08-01,,active
SUB00379,CUST0379,Starter,29,2024-04-01,2025-01-01,churned
SUB00380,CUST0380,Starter,29,2024-09-01,2025-11-01,churned
SUB00381,CUST0381,Enterprise,299,2025-09-01,,active
SUB00382,CUST0382,Starter,29,2024-06-01,2025-01-01,churned
SUB00383,CUST0383,Starter,29,2024-08-01,,active
SUB00384,CUST0384,Growth,99,2025-04-01,,active
SUB00385,CUST0385,Growth,99,2024-12-01,,active
SUB00386,CUST0386,Starter,29,2024-09-01,2024-11-01,churned
SUB00387,CUST0387,Starter,29,2024-04-01,,active
SUB00388,CUST0388,Enterprise,299,2025-03-01,,active
SUB00389,CUST0389,Starter,29,2025-08-01,,active
SUB00390,CUST0390,Starter,29,2024-10-01,2024-11-01,churned
SUB00391,CUST0391,Growth,99,2025-03-01,,active
SUB00392,CUST0392,Starter,29,2024-07-01,,active
SUB00393,CUST0393,Starter,29,2024-06-01,,active
SUB00394,CUST0394,Growth,99,2024-04-01,,active
SUB00395,CUST0395,Enterprise,299,2024-12-01,,active
SUB00396,CUST0396,Enterprise,299,2025-05-01,,active
SUB00397,CUST0397,Enterprise,299,2024-09-01,,active
SUB00398,CUST0398,Starter,29,2025-03-01,2025-05-01,churned
SUB00399,CUST0399,Growth,99,2024-09-01,,active
SUB00400,CUST0400,Growth,99,2025-02-01,,active
SUB00401,CUST0401,Enterprise,299,2024-10-01,,active
SUB00402,CUST0402,Starter,29,2024-02-01,2025-09-01,churned
SUB00403,CUST0403,Starter,29,2024-06-01,,active
SUB00404,CUST0404,Starter,29,2024-07-01,,active
SUB00405,CUST0405,Starter,29,2024-09-01,,active
SUB00406,CUST0406,Enterprise,299,2024-12-01,,active
SUB00407,CUST0407,Enterprise,299,2024-03-01,,active
SUB00408,CUST0408,Growth,99,2024-04-01,,active
SUB00409,CUST0409,Starter,29,2024-09-01,,active
SUB00410,CUST0410,Growth,99,2025-04-01,,active
SUB00411,CUST0411,Starter,29,2024-12-01,,active
SUB00412,CUST0412,Starter,29,2024-04-01,2024-12-01,churned
SUB00413,CUST0413,Enterprise,299,2024-03-01,,active
SUB00414,CUST0414,Growth,99,2024-08-01,,active
SUB00415,CUST0415,Enterprise,299,2024-10-01,,active
SUB00416,CUST0416,Enterprise,299,2025-05-01,,active
SUB00417,CUST0417,Starter,29,2024-04-01,,active
SUB00418,CUST0418,Growth,99,2025-03-01,,active
SUB00419,CUST0419,Enterprise,299,2024-06-01,2025-11-01,churned
SUB00420,CUST0420,Starter,29,2025-05-01,2025-08-01,churned
SUB00421,CUST0421,Enterprise,299,2025-02-01,,active
SUB00422,CUST0422,Starter,29,2025-02-01,2025-05-01,churned
SUB00423,CUST0423,Growth,99,2025-04-01,,active
SUB00424,CUST0424,Enterprise,299,2024-07-01,2025-12-01,churned
SUB00425,CUST0425,Growth,99,2025-07-01,,active
SUB00426,CUST0426,Enterprise,299,2024-09-01,,active
SUB00427,CUST0427,Enterprise,299,2025-02-01,,active
SUB00428,CUST0428,Growth,99,2025-06-01,,active
SUB00429,CUST0429,Enterprise,299,2024-02-01,,active
SUB00430,CUST0430,Enterprise,299,2025-04-01,,active
SUB00431,CUST0431,Starter,29,2025-04-01,2025-08-01,churned
SUB00432,CUST0432,Growth,99,2025-03-01,,active
SUB00433,CUST0433,Growth,99,2024-05-01,2025-05-01,churned
SUB00434,CUST0434,Growth,99,2024-05-01,2025-05-01,churned
SUB00435,CUST0435,Growth,99,2024-09-01,,active
SUB00436,CUST0436,Starter,29,2024-10-01,,active
SUB00437,CUST0437,Growth,99,2024-07-01,2024-09-01,churned
SUB00438,CUST0438,Growth,99,2025-05-01,2025-07-01,churned
SUB00439,CUST0439,Starter,29,2024-01-01,2024-02-01,churned
SUB00440,CUST0440,Growth,99,2024-08-01,,active
SUB00441,CUST0441,Enterprise,299,2024-04-01,2024-12-01,churned
SUB00442,CUST0442,Enterprise,299,2025-07-01,,active
SUB00443,CUST0443,Growth,99,2024-12-01,,active
SUB00444,CUST0444,Enterprise,299,2024-09-01,,active
SUB00445,CUST0445,Enterprise,299,2024-05-01,,active
SUB00446,CUST0446,Starter,29,2024-12-01,2025-01-01,churned
SUB00447,CUST0447,Growth,99,2024-04-01,2024-12-01,churned
