customer_id,company_name,industry,country,employee_size,acquisition_channel,signup_date,initial_plan
CUST0032,Carlson-Cruz,Marketing,Canada,1,Paid Ads,2024-11-01,Enterprise
CUST0033,"Ferrell, Rice and Maddox",FinTech,United Kingdom,500,Organic Search,2025-07-01,Enterprise
CUST0034,Frazier Inc,Logistics,India,10,Partner,2024-09-01,Enterprise
CUST0035,"Dyer, Potter and Mack",Logistics,India,50,Outbound Sales,2025-07-01,Growth
CUST0036,Rodriguez-Graham,Manufacturing,Canada,1000,Partner,2024-07-01,Enterprise
CUST0037,Smith-Bowen,Marketing,France,100,Content Marketing,2024-08-01,Growth
CUST0038,"Baker, Mason and White",Media,United Kingdom,25,Paid Ads,2024-06-01,Enterprise
CUST0039,Harrell LLC,E-commerce,Netherlands,1000,Paid Ads,2025-03-01,Starter
CUST0040,"Romero, Gonzalez and Brooks",E-commerce,United Kingdom,1,Paid Ads,2025-02-01,Growth
CUST0041,Ryan PLC,E-commerce,Australia,5,Outbound Sales,2025-07-01,Starter
CUST0042,George Group,Media,Canada,1000,Paid Ads,2024-06-01,Starter
CUST0043,Rodriguez LLC,SaaS/Tech,Netherlands,500,Paid Ads,2024-11-01,Growth
CUST0044,Allen-Allen,Manufacturing,Canada,5,Organic Search,2024-10-01,Growth
CUST0045,"Arroyo, Miller and Tucker",Real Estate,France,250,Content Marketing,2024-11-01,Growth
CUST0046,Spence PLC,E-commerce,United Kingdom,1,Content Marketing,2025-02-01,Enterprise
CUST0047,Anderson Group,FinTech,Canada,25,Paid Ads,2024-10-01,Growth
CUST0048,"Martin, Rose and Obrien",Healthcare,France,10,Referral,2024-03-01,Growth
CUST0049,Hickman Ltd,FinTech,Brazil,1000,Organic Search,2025-04-01,Growth
CUST0050,"Harris, Collins and Carney",Logistics,USA,5,Paid Ads,2024-10-01,Starter
CUST0051,"Brooks, Lam and Hayes",Media,Brazil,25,Content Marketing,2025-01-01,Starter
CUST0052,Walker LLC,Healthcare,France,1,Content Marketing,2024-06-01,Enterprise
CUST0053,Chapman and Sons,Media,Germany,250,Partner,2024-11-01,Starter
CUST0054,"Robinson, Jones and Welch",Logistics,Brazil,10,Paid Ads,2025-01-01,Enterprise
CUST0055,Jones Inc,E-commerce,Netherlands,1000,Organic Search,2024-10-01,Starter
CUST0056,Jones-Young,E-commerce,USA,500,Outbound Sales,2025-01-01,Growth
CUST0057,"Washington, Ryan and Cummings",Logistics,India,1,Outbound Sales,2024-11-01,Enterprise
CUST0058,"Johnston, Sanchez and Kennedy",Healthcare,United Kingdom,5,Partner,2025-01-01,Starter
CUST0059,Lee-Davis,Manufacturing,United Kingdom,25,Outbound Sales,2024-03-01,Enterprise
CUST0060,Gomez-Jenkins,SaaS/Tech,United Kingdom,250,Partner,2024-07-01,Growth
CUST0061,"Brown, Valdez and Lucas",Logistics,Australia,50,Paid Ads,2024-10-01,Growth
CUST0062,Powell LLC,Real Estate,Canada,50,Content Marketing,2024-03-01,Growth
CUST0063,Wright and Sons,Marketing,Brazil,100,Organic Search,2024-12-01,Starter
CUST0064,"West, Henderson and Ramirez",SaaS/Tech,Netherlands,5,Organic Search,2024-10-01,Starter
CUST0065,Baxter Inc,Logistics,Germany,10,Referral,2024-12-01,Growth
CUST0066,Morton-Chase,EdTech,Australia,50,Paid Ads,2024-07-01,Enterprise
CUST0067,Williams PLC,Logistics,Germany,1000,Organic Search,2025-10-01,Starter
CUST0068,Novak and Sons,Logistics,Germany,5,Paid Ads,2024-05-01,Growth
CUST0069,Russell Group,FinTech,Singapore,10,Referral,2024-04-01,Starter
CUST0070,Hancock Inc,EdTech,Australia,25,Partner,2025-01-01,Starter
CUST0071,Gray Group,Marketing,Singapore,500,Referral,2025-02-01,Growth
CUST0072,House-Glover,E-commerce,United Kingdom,250,Referral,2024-07-01,Enterprise
CUST0073,Henderson-Bernard,Real Estate,India,50,Paid Ads,2025-04-01,Starter
CUST0074,"Stanley, Tucker and Lee",Logistics,France,1000,Organic Search,2024-12-01,Growth
CUST0075,Novak PLC,Healthcare,Singapore,1,Referral,2024-07-01,Starter
CUST0076,"Daniels, Adkins and Brown",Healthcare,France,10,Organic Search,2024-10-01,Growth
CUST0077,"Woods, Calhoun and Schmidt",E-commerce,Australia,25,Partner,2024-05-01,Starter
CUST0078,Yu Inc,FinTech,Australia,1000,Content Marketing,2025-11-01,Starter
CUST0079,Jones Inc,Healthcare,Canada,10,Paid Ads,2024-02-01,Enterprise
CUST0080,"Hensley, Powell and David",E-commerce,India,100,Content Marketing,2024-02-01,Enterprise
CUST0081,"Sanchez, Wheeler and Harvey",EdTech,Germany,10,Partner,2024-06-01,Enterprise
CUST0082,Sandoval-Cunningham,E-commerce,Brazil,25,Paid Ads,2024-12-01,Starter
CUST0083,Donovan-Harris,Media,Australia,50,Paid Ads,2024-04-01,Enterprise
CUST0084,"Edwards, Baker and Anderson",EdTech,France,100,Referral,2024-04-01,Starter
CUST0085,"Evans, Stewart and Walton",Marketing,Australia,1000,Content Marketing,2024-11-01,Enterprise
CUST0086,Smith PLC,Logistics,Australia,1,Organic Search,2024-09-01,Growth
CUST0087,"Ferrell, Jones and Lewis",Marketing,India,50,Organic Search,2024-10-01,Enterprise
CUST0088,Anderson-Bailey,Manufacturing,Australia,100,Content Marketing,2025-03-01,Starter
CUST0089,Suarez LLC,Logistics,United Kingdom,250,Outbound Sales,2024-07-01,Growth
CUST0090,Moore-Bass,E-commerce,France,1,Outbound Sales,2024-08-01,Starter
CUST0091,"Turner, Riggs and Roman",Logistics,Canada,100,Content Marketing,2024-06-01,Enterprise
CUST0092,"Smith, Montoya and Evans",Real Estate,Netherlands,100,Partner,2024-09-01,Starter
CUST0093,"Garcia, Humphrey and Baker",Marketing,Singapore,50,Partner,2024-09-01,Enterprise
CUST0094,Newton and Sons,Manufacturing,Germany,1000,Paid Ads,2025-01-01,Starter
CUST0095,Campbell-Clark,Manufacturing,India,50,Content Marketing,2025-02-01,Starter
CUST0096,Harris-Walters,E-commerce,Germany,50,Paid Ads,2025-01-01,Growth
CUST0097,Wagner-King,SaaS/Tech,Netherlands,100,Content Marketing,2024-03-01,Starter
CUST0098,Davis Group,EdTech,Singapore,500,Partner,2024-08-01,Starter
CUST0099,Williams-Cook,FinTech,Germany,1000,Partner,2024-06-01,Starter
CUST0100,Walsh LLC,Real Estate,United Kingdom,25,Partner,2024-09-01,Growth
CUST0101,Figueroa PLC,EdTech,India,1,Organic Search,2025-06-01,Starter
CUST0102,"Patterson, Smith and Jones",Media,Netherlands,5,Content Marketing,2024-05-01,Starter
CUST0103,"Mckee, Gardner and Davenport",SaaS/Tech,Canada,250,Content Marketing,2024-06-01,Starter
CUST0104,"Tran, Jordan and Williams",Healthcare,USA,5,Content Marketing,2024-09-01,Starter
CUST0105,Nolan-Flynn,Logistics,Brazil,1,Outbound Sales,2024-07-01,Starter
CUST0106,Nolan and Sons,FinTech,Brazil,10,Content Marketing,2024-06-01,Starter
CUST0107,"Wright, Garcia and Deleon",Logistics,Netherlands,100,Content Marketing,2024-11-01,Growth
CUST0108,Dickson-Brady,Logistics,France,1000,Content Marketing,2024-10-01,Growth
CUST0109,Hancock and Sons,Media,Brazil,50,Paid Ads,2024-06-01,Enterprise
CUST0110,Johnson-Doyle,Marketing,Singapore,500,Partner,2024-02-01,Enterprise
CUST0111,Patton-Jenkins,Media,United Kingdom,50,Paid Ads,2025-05-01,Starter
CUST0112,"Shields, Cochran and Adams",Real Estate,Singapore,5,Paid Ads,2024-06-01,Starter
CUST0113,"Rodriguez, Brennan and Garrison",Manufacturing,India,25,Organic Search,2025-08-01,Starter
CUST0114,Gonzalez Group,Real Estate,Singapore,500,Content Marketing,2025-06-01,Starter
CUST0115,Torres-Pope,Manufacturing,France,1,Outbound Sales,2025-01-01,Starter
CUST0116,Walker Ltd,E-commerce,Australia,50,Content Marketing,2024-04-01,Starter
CUST0117,Ross LLC,Manufacturing,Singapore,1000,Outbound Sales,2024-05-01,Enterprise
CUST0118,Rasmussen LLC,Media,Canada,50,Content Marketing,2024-10-01,Enterprise
CUST0119,May-Ross,Manufacturing,Australia,250,Partner,2024-06-01,Growth
CUST0120,"Rivera, Johnson and Wiley",Media,India,1000,Organic Search,2024-08-01,Starter
CUST0121,White-Estes,SaaS/Tech,Netherlands,1,Organic Search,2024-02-01,Enterprise
CUST0122,Johnson-Carlson,Healthcare,Brazil,10,Organic Search,2025-04-01,Growth
CUST0123,Chandler-Edwards,Real Estate,Canada,500,Referral,2024-12-01,Starter
CUST0124,"Joyce, Wilson and Lam",Manufacturing,Germany,250,Referral,2024-08-01,Starter
CUST0125,Scott Ltd,Media,USA,1000,Organic Search,2025-09-01,Enterprise
CUST0126,Smith-Frost,Real Estate,Canada,5,Partner,2024-06-01,Enterprise
CUST0127,"Mcdaniel, Bentley and Mclaughlin",E-commerce,Canada,25,Organic Search,2025-09-01,Starter
CUST0128,Diaz Inc,EdTech,India,500,Partner,2024-02-01,Growth
CUST0129,"Mccall, Hanson and Alvarado",EdTech,Brazil,50,Referral,2024-01-01,Starter
CUST0130,Cortez LLC,SaaS/Tech,United Kingdom,10,Referral,2025-04-01,Starter
CUST0131,"Parker, Ortiz and Powell",E-commerce,Germany,250,Content Marketing,2024-06-01,Starter
CUST0132,Spencer-Lee,EdTech,United Kingdom,25,Organic Search,2024-11-01,Enterprise
CUST0133,"Bentley, Byrd and Orr",Marketing,Netherlands,5,Outbound Sales,2025-02-01,Growth
CUST0134,"Carroll, Sullivan and Bass",Real Estate,Singapore,250,Partner,2025-05-01,Growth
CUST0135,Mitchell-Jordan,Logistics,Australia,1,Content Marketing,2024-06-01,Starter
CUST0136,"Lawson, Morris and Ramos",FinTech,France,100,Partner,2024-10-01,Enterprise
CUST0137,"Lewis, Kennedy and Santana",Media,India,250,Paid Ads,2024-09-01,Enterprise
CUST0138,"Jackson, Miller and Robertson",Marketing,Netherlands,1000,Content Marketing,2024-02-01,Growth
CUST0139,"Harvey, Davis and Crane",SaaS/Tech,Germany,100,Paid Ads,2024-11-01,Growth
CUST0140,Chambers and Sons,FinTech,Germany,500,Paid Ads,2025-02-01,Enterprise
CUST0141,Hernandez Inc,SaaS/Tech,Netherlands,250,Referral,2025-01-01,Growth
CUST0142,Riggs PLC,Real Estate,India,500,Paid Ads,2024-11-01,Starter
CUST0143,Gibson Ltd,Marketing,Australia,50,Outbound Sales,2025-01-01,Starter
CUST0144,"Lee, Horton and Snyder",Marketing,Singapore,1,Outbound Sales,2025-02-01,Growth
CUST0145,Hernandez Ltd,FinTech,Canada,250,Content Marketing,2024-05-01,Enterprise
CUST0146,Stafford Inc,EdTech,Brazil,500,Content Marketing,2025-08-01,Growth
CUST0147,Robinson-Brock,FinTech,Germany,25,Content Marketing,2025-03-01,Growth
CUST0148,"Holmes, Williams and Wright",Marketing,Netherlands,100,Content Marketing,2024-07-01,Growth
CUST0149,Bryant Group,Real Estate,France,1000,Referral,2024-06-01,Growth
CUST0150,"Schmidt, Hansen and Stewart",Media,Germany,50,Referral,2024-07-01,Starter
CUST0151,Salazar-Ball,EdTech,Australia,5,Partner,2025-01-01,Starter
CUST0152,"Simmons, Meadows and Griffin",Healthcare,Canada,25,Partner,2025-04-01,Growth
CUST0153,Manning Group,SaaS/Tech,Singapore,50,Organic Search,2025-08-01,Growth
CUST0154,Green-Wright,Marketing,Canada,100,Paid Ads,2024-08-01,Enterprise
CUST0155,"Ramirez, Strickland and Washington",Logistics,India,50,Organic Search,2024-03-01,Starter
CUST0156,Hill Inc,Logistics,Germany,10,Partner,2024-07-01,Enterprise
CUST0157,"Mitchell, Nelson and Flores",Media,United Kingdom,1,Outbound Sales,2024-05-01,Enterprise
CUST0158,"Miller, Hernandez and Reyes",Media,Brazil,100,Paid Ads,2025-02-01,Starter
CUST0159,Mccarthy Inc,Marketing,Brazil,5,Organic Search,2024-07-01,Enterprise
CUST0160,Russell-Daniels,FinTech,Netherlands,1,Paid Ads,2024-06-01,Starter
CUST0161,Brown-Wall,SaaS/Tech,Germany,5,Paid Ads,2024-08-01,Starter
CUST0162,Stein-Silva,Manufacturing,Netherlands,25,Outbound Sales,2024-06-01,Starter
CUST0163,"Smith, Gilmore and Johnston",Media,Germany,250,Referral,2024-05-01,Starter
CUST0164,Smith-Bell,E-commerce,Netherlands,5,Paid Ads,2025-07-01,Growth
CUST0165,Castaneda-Ashley,Marketing,United Kingdom,10,Paid Ads,2024-05-01,Growth
CUST0166,Medina-Navarro,FinTech,India,1,Content Marketing,2025-02-01,Starter
CUST0167,"Hurst, Freeman and Nelson",SaaS/Tech,Brazil,50,Organic Search,2024-03-01,Growth
CUST0168,Johnson-Rogers,Marketing,Brazil,5,Partner,2024-12-01,Starter
CUST0169,"Yates, Ramsey and Pittman",Marketing,Netherlands,25,Content Marketing,2025-07-01,Starter
CUST0170,Hooper PLC,EdTech,India,50,Paid Ads,2024-05-01,Starter
CUST0171,Meadows PLC,Healthcare,Germany,50,Content Marketing,2024-05-01,Starter
CUST0172,"Alvarado, Miller and Patterson",Marketing,France,50,Outbound Sales,2024-08-01,Starter
CUST0173,White-Green,Media,United Kingdom,1,Content Marketing,2024-03-01,Growth
CUST0174,Lewis-Murphy,SaaS/Tech,Germany,1,Organic Search,2024-04-01,Growth
CUST0175,Ramirez-Bean,SaaS/Tech,Netherlands,1,Partner,2025-10-01,Starter
CUST0176,King-Miller,SaaS/Tech,USA,10,Content Marketing,2025-03-01,Enterprise
CUST0177,Curry Inc,Media,Germany,10,Outbound Sales,2024-04-01,Growth
CUST0178,Walker-Jones,Media,United Kingdom,500,Referral,2025-05-01,Starter
CUST0179,"Williams, Johnson and Wright",Real Estate,United Kingdom,10,Referral,2024-07-01,Starter
CUST0180,Howell and Sons,Media,Germany,250,Outbound Sales,2024-12-01,Starter
CUST0181,Wells Inc,FinTech,Australia,50,Referral,2024-09-01,Starter
CUST0182,"Gould, Marshall and Scott",Manufacturing,Singapore,1,Partner,2025-03-01,Starter
CUST0183,Jackson-Lawson,Media,France,1,Paid Ads,2024-12-01,Enterprise
CUST0184,"Higgins, Strickland and Martin",SaaS/Tech,Brazil,500,Organic Search,2024-08-01,Growth
CUST0185,Rodriguez-Johnson,Logistics,India,50,Content Marketing,2025-04-01,Starter
CUST0186,Johnston-Odonnell,Media,United Kingdom,1,Partner,2024-05-01,Enterprise
CUST0187,Sanders-Espinoza,EdTech,India,50,Outbound Sales,2025-04-01,Growth
CUST0188,Vargas Ltd,Manufacturing,United Kingdom,25,Organic Search,2025-06-01,Starter
CUST0189,Garcia LLC,FinTech,India,500,Partner,2024-11-01,Growth
CUST0190,"Burke, Martinez and Riggs",Marketing,France,500,Content Marketing,2024-12-01,Starter
CUST0191,Reed Group,Logistics,India,250,Paid Ads,2024-04-01,Starter
CUST0192,"Wood, Hunter and Peterson",Logistics,India,5,Referral,2025-10-01,Enterprise
CUST0193,Short-Garcia,Manufacturing,Australia,1000,Referral,2024-05-01,Growth
CUST0194,Reid-Poole,Marketing,Germany,500,Paid Ads,2024-09-01,Enterprise
CUST0195,"Hernandez, Thompson and Boyd",Media,Australia,100,Outbound Sales,2025-06-01,Starter
CUST0196,"Nelson, Morton and Medina",Manufacturing,Brazil,100,Paid Ads,2024-06-01,Growth
CUST0197,Marshall-Petersen,EdTech,Netherlands,250,Paid Ads,2024-10-01,Enterprise
CUST0198,"Adams, Christian and Rivas",Manufacturing,USA,100,Partner,2024-05-01,Enterprise
CUST0199,Ramirez Group,Manufacturing,France,10,Content Marketing,2025-02-01,Growth
CUST0200,Christensen PLC,Healthcare,Singapore,100,Organic Search,2025-05-01,Enterprise
CUST0201,"Barnett, Rogers and Snyder",Media,United Kingdom,1000,Content Marketing,2024-04-01,Enterprise
CUST0202,White-Lewis,Healthcare,France,10,Organic Search,2024-02-01,Starter
CUST0203,Peterson-Beard,Marketing,Australia,250,Partner,2024-01-01,Growth
CUST0204,"Beard, Peters and Black",Real Estate,Singapore,250,Referral,2024-06-01,Starter
CUST0205,Miller Ltd,Media,Singapore,1,Outbound Sales,2024-10-01,Growth
CUST0206,Freeman-Chang,Marketing,Canada,5,Content Marketing,2025-07-01,Starter
CUST0207,"Alvarez, Joseph and West",FinTech,Brazil,10,Partner,2024-11-01,Enterprise
CUST0208,Davis and Sons,E-commerce,USA,100,Organic Search,2024-10-01,Starter
CUST0209,Holt-Torres,Real Estate,France,10,Paid Ads,2025-03-01,Starter
CUST0210,"Wood, Tran and Cooper",SaaS/Tech,India,10,Paid Ads,2024-12-01,Growth
CUST0211,"Pierce, Bell and Chavez",Manufacturing,Netherlands,25,Content Marketing,2024-08-01,Starter
CUST0212,King-Martinez,Healthcare,Canada,500,Partner,2024-04-01,Enterprise
CUST0213,Stewart Ltd,Marketing,USA,500,Referral,2025-03-01,Starter
CUST0214,"Tapia, Vaughn and Lee",Healthcare,United Kingdom,500,Referral,2025-02-01,Growth
CUST0215,"Washington, Hardy and Bray",Marketing,France,50,Content Marketing,2024-03-01,Enterprise
CUST0216,"Carlson, Hooper and Wall",EdTech,France,500,Organic Search,2024-11-01,Enterprise
CUST0217,Perez-White,SaaS/Tech,Australia,50,Partner,2024-07-01,Starter
CUST0218,Erickson and Sons,Manufacturing,Germany,1,Outbound Sales,2025-06-01,Starter
CUST0219,Williams-Brown,E-commerce,Netherlands,500,Referral,2024-05-01,Enterprise
CUST0220,Terry-Martinez,EdTech,Netherlands,100,Paid Ads,2025-03-01,Growth
CUST0221,Garcia-Smith,SaaS/Tech,Germany,10,Partner,2025-08-01,Growth
CUST0222,Harrison-Alexander,E-commerce,Germany,500,Organic Search,2024-07-01,Starter
CUST0223,Sheppard LLC,Healthcare,United Kingdom,50,Referral,2024-09-01,Growth
CUST0224,Wilson-Jones,Healthcare,Canada,10,Outbound Sales,2024-12-01,Growth
CUST0225,Jones-Soto,Real Estate,Singapore,1000,Referral,2024-11-01,Enterprise
CUST0226,Hernandez PLC,Marketing,Brazil,50,Partner,2024-03-01,Enterprise
CUST0227,Miller-Wright,FinTech,Brazil,5,Paid Ads,2024-07-01,Enterprise
CUST0228,"Duran, Obrien and Gibbs",EdTech,France,1000,Referral,2025-04-01,Growth
CUST0229,Rowe Group,Manufacturing,USA,50,Outbound Sales,2024-09-01,Starter
CUST0230,Kerr-Evans,Real Estate,Germany,250,Partner,2025-07-01,Starter
CUST0231,"Branch, Torres and Oliver",FinTech,Canada,500,Organic Search,2025-03-01,Enterprise
CUST0232,"Choi, Garcia and Farmer",Logistics,Australia,25,Partner,2024-08-01,Growth
CUST0233,"Clark, Guerrero and Moore",Media,Germany,250,Organic Search,2024-07-01,Starter
CUST0234,Arnold and Sons,E-commerce,Germany,500,Organic Search,2024-04-01,Starter
CUST0235,Ortiz Ltd,Logistics,India,250,Content Marketing,2024-04-01,Starter
CUST0236,"Harrison, Johnson and Roberts",Logistics,France,10,Content Marketing,2024-09-01,Starter
CUST0237,Warner-Gibson,Media,Netherlands,250,Referral,2024-08-01,Growth
CUST0238,"Hall, Baker and Moody",Real Estate,Canada,500,Content Marketing,2024-09-01,Starter
CUST0239,"Guerrero, Peck and Coleman",Real Estate,United Kingdom,100,Outbound Sales,2025-03-01,Enterprise
CUST0240,"Walker, Hernandez and Baker",Real Estate,USA,250,Referral,2024-11-01,Enterprise
CUST0241,Jones and Sons,FinTech,Brazil,5,Partner,2025-03-01,Starter
CUST0242,Larson-Holloway,SaaS/Tech,USA,1,Referral,2024-10-01,Starter
CUST0243,Gonzales-Harrison,Healthcare,Netherlands,25,Organic Search,2024-10-01,Starter
CUST0244,Lyons-Bender,Logistics,Canada,25,Paid Ads,2024-09-01,Enterprise
CUST0245,"Fernandez, Kim and George",Healthcare,Netherlands,1,Referral,2024-07-01,Starter
CUST0246,Navarro-Munoz,Healthcare,India,1000,Referral,2025-07-01,Enterprise
CUST0247,Davis Ltd,FinTech,USA,10,Organic Search,2024-07-01,Growth
CUST0248,"Matthews, Smith and Hubbard",EdTech,Netherlands,100,Organic Search,2024-12-01,Starter
CUST0249,Johnston-Hines,E-commerce,India,250,Outbound Sales,2024-06-01,Starter
CUST0250,Ruiz Ltd,FinTech,Brazil,500,Referral,2025-07-01,Starter
CUST0251,Moon-White,FinTech,Brazil,1000,Paid Ads,2024-04-01,Growth
CUST0252,"Graham, Olsen and Costa",E-commerce,Singapore,50,Content Marketing,2024-05-01,Enterprise
CUST0253,Bailey-Cook,E-commerce,USA,500,Content Marketing,2025-03-01,Growth
CUST0254,"Garcia, Martin and Jenkins",FinTech,Brazil,500,Organic Search,2024-12-01,Starter
CUST0255,Roberts-Landry,Real Estate,Netherlands,10,Organic Search,2024-07-01,Enterprise
CUST0256,"Johnson, Miller and King",SaaS/Tech,Netherlands,1000,Partner,2025-02-01,Starter
CUST0257,Cordova Group,SaaS/Tech,Singapore,50,Content Marketing,2024-09-01,Starter
CUST0258,"Bryan, Smith and Booth",Manufacturing,United Kingdom,5,Partner,2024-07-01,Growth
CUST0259,Gutierrez-Lopez,Logistics,Canada,250,Content Marketing,2024-08-01,Growth
CUST0260,Dean-Jimenez,Manufacturing,Australia,500,Content Marketing,2025-05-01,Enterprise
CUST0261,Wolf-Harris,FinTech,Australia,250,Referral,2025-02-01,Starter
CUST0262,"Anderson, Roberts and Gilmore",Real Estate,India,500,Organic Search,2025-01-01,Growth
CUST0263,Martinez-Dudley,FinTech,United Kingdom,250,Organic Search,2024-10-01,Starter
CUST0264,"Lloyd, Mckinney and Collins",Real Estate,India,1000,Organic Search,2024-08-01,Growth
CUST0265,Tran Inc,Logistics,Singapore,100,Partner,2024-07-01,Growth
CUST0266,Gay Inc,Real Estate,France,1,Referral,2025-05-01,Starter
CUST0267,Valentine-Holland,Real Estate,United Kingdom,1000,Paid Ads,2024-03-01,Growth
CUST0268,Jimenez Ltd,Media,Canada,5,Referral,2024-02-01,Starter
CUST0269,Hicks-Hill,Real Estate,United Kingdom,50,Outbound Sales,2025-01-01,Enterprise
CUST0270,Baird-Sanchez,Manufacturing,Singapore,1000,Organic Search,2024-07-01,Starter
CUST0271,"Thomas, Lee and Greene",Marketing,USA,10,Referral,2025-05-01,Growth
CUST0272,"Suarez, Shields and Hill",Marketing,Australia,100,Organic Search,2025-02-01,Growth
CUST0273,Morgan-French,Healthcare,Netherlands,250,Organic Search,2024-09-01,Starter
CUST0274,Hoover-Campbell,E-commerce,United Kingdom,1000,Paid Ads,2025-03-01,Starter
CUST0275,Monroe-Carpenter,Media,Australia,10,Referral,2025-04-01,Starter
CUST0276,"Burns, Hernandez and Ryan",Real Estate,Netherlands,5,Organic Search,2025-04-01,Starter
CUST0277,Cook-Hines,SaaS/Tech,USA,5,Referral,2024-08-01,Starter
CUST0278,Gibson-Morris,Manufacturing,Brazil,500,Content Marketing,2024-02-01,Starter
CUST0279,Pollard and Sons,Logistics,United Kingdom,100,Content Marketing,2024-01-01,Starter
CUST0280,"Reyes, Chase and Jenkins",SaaS/Tech,Brazil,1000,Partner,2025-04-01,Starter
CUST0281,Garner-Thornton,EdTech,France,1,Organic Search,2024-10-01,Starter
CUST0282,Hughes-Alvarado,EdTech,India,50,Referral,2024-05-01,Starter
CUST0283,"Pollard, Simpson and Johnson",E-commerce,Brazil,250,Paid Ads,2024-11-01,Starter
CUST0284,"Sanford, Rivera and Garcia",Logistics,Canada,1000,Outbound Sales,2024-11-01,Starter
CUST0285,Garcia-Lozano,Real Estate,United Kingdom,250,Partner,2024-11-01,Enterprise
CUST0286,Bowen Group,E-commerce,Brazil,5,Referral,2024-08-01,Starter
CUST0287,"Booker, Jones and Harrington",SaaS/Tech,France,250,Referral,2025-02-01,Growth
CUST0288,Morgan-Schwartz,E-commerce,Australia,10,Outbound Sales,2024-04-01,Starter
CUST0289,"Miller, Murphy and Craig",Real Estate,United Kingdom,250,Organic Search,2024-08-01,Growth
CUST0290,"James, Stewart and Higgins",SaaS/Tech,France,1000,Organic Search,2024-06-01,Starter
CUST0291,Brennan-Johnson,Marketing,Australia,25,Referral,2025-02-01,Starter
CUST0292,Young Ltd,FinTech,Singapore,5,Outbound Sales,2024-06-01,Growth
CUST0293,Bright-Francis,Real Estate,Australia,10,Paid Ads,2024-03-01,Growth
CUST0294,Good-Hodges,Marketing,Canada,10,Outbound Sales,2024-12-01,Starter
CUST0295,"Brennan, Wallace and Benson",FinTech,India,500,Content Marketing,2024-11-01,Starter
CUST0296,Williams Inc,SaaS/Tech,Brazil,100,Partner,2024-03-01,Growth
CUST0297,Howard-Jordan,Media,United Kingdom,500,Content Marketing,2025-03-01,Starter
CUST0298,Schmidt PLC,Marketing,Netherlands,1,Referral,2024-10-01,Growth
CUST0299,"Sparks, Jackson and Miller",Marketing,Brazil,500,Organic Search,2024-07-01,Growth
CUST0300,Harvey-Allen,Marketing,United Kingdom,5,Outbound Sales,2024-01-01,Starter
